Query,Answer
FARMER ASKED QUERY ABOUT VARIETIES OF SESAMUM,RECOMMENDED VARIETIES OF SESAMUM IS YELAMANCHALI-66 (SARADA)
FARMER ASKED QUERY ABOUT FRUIT ROT MANAGEMENT IN CHILLI,"RECOMMENDED TO SPRAY  TEBUCONAZOLE + TRIFLOXYSTROBIN (NATIVO)160 GRAMS /200 LITRES OF WATER /ACRE      
టిబ్యుకొనజొల్   +  ట్రైప్లోక్సిస్త్రోబిన్ 160  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ , మబ్బు లుగా ఉంటుంది 
"
Farmer asked query about pm kisan scheme?,O.S.Suneel garu guntur DAO : 8331056914
farmer asked query on nutrient management in cucumber ? ,"RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE)
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
and
RECOMMENDED TO SPRAY AGRO MINIMAX 3 GRAMS /1 LITER OF WATER 
 అగ్రోమిం మాక్స్ @౩గ్రాములు ఒక లీటర్ నీటికి.
అగ్రోమింమ్యాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి       

"
SAFLOWER SUITABLE SOIL ,"నీరు నిలువని, బరువైన తేమను నిల్పుకునే నల్లరేగడి మరియు నీటి వసతి గల ఎర్ర గరప నేలలు ఈ పంట సాగుకు మిక్కిలి అనుకూలం. ప్యూజేరియం ఎండుతెగులు ఎక్కువగా ఆశించే అవకాశం వున్నందున ఆమ్లత్వం గల భూములు పనికిరావు. అయితే కొద్దిపాటి క్షారత్వాన్ని కుసుమ పంట తట్టుకుంటుంది.

"
FARMER ASKED QUERY ABOUT NUTRIENT  MANAGEMENT IN CUCUMBER ,"RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE/200 LITERS OF WATER).పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి. +RECOMMENDED TO SPRAY AGROMINIMAX @ 600 GRAMS PER 200 LITERS OF WATER PER ACRE (3 GRAMS PER 1 LITER OF WATER )
"
"FARMER ASKED QUERY ABOUT MARKET INFORMATION OF CHILLI, COTTON , REDGRAM ","                                                                                              Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	REDGRAM-RED	1,609	    8,896	          9,896
ANDHRA PRADESH	  ADONI	             COTTON	        4,016	   7,599	          7,733
ANDHRA PRADESH	GUNTUR  	CHILLI-TEJA	       5,000	  19,000	        40,000
		"
"Farmer queries to the agriculture commissionerate office AP
",Farmer queries to the agriculture commissionerate office AP
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER AND NO SHOWERS  IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
PM KISAN 17 INSTALLEMENT DATE?,"PM KISAN 17th Installment 2024 Date [MAY, 2024]
The PM KISAN 17th Installment 2024 is expected to launch in May, 2024."
FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS ,"REASON OF INELIGIBILITY : Untraceable Beneficiary and Land Seeding :no
RECOMMENDED TO CONTACT YOUR AGRICULTURAL OFFICER "
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"Head of the family already receives the benefit of the scheme.

PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది.వర్షం పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం ఎండా  మబ్బులుగా ఉంటుంది వర్షము పడే అవకాశం లేదు.
Weather in your area is sunny and cloudy with no chance of rain.
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది,వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.
"
FARMER ASKED QUERY ABOUT LEAF MINER MANAGEMENT IN TOMATO,"డైమిథోయేట్  400 మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి(5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి)
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO  CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.

"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
RED GRAM MARKET INFORMATION?,8600/Q RED GRAM MARKET INFORMATION
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 ఈరోజు మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY AND DRY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది,వర్షం  పడే అవకాశం లేదు"
Farmer asked query on Weather,మీ ప్రాంతములో  వాతావరణం ఎండా మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు. 
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం మబ్బులుగా ఉంటుంది, వర్షం పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం మబ్బులుగా ఉంటుంది, జల్లులు  పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
FARMER ASKED ABOUT LEAF SPOT MANAGEMENT IN GROUNDNUT,"RECOMMENDED TO SPRAY CHLOROTHALONIL (KAVACH , JATAYU) 400 GRAMS / 200 LT OF WATER / ACRE (P.M,SPOTS,ANTHR,BLI,D.M,L.CURL)        
క్లోరోతలోనిల్ (కవాచ్ , జటాయు ) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
FARMER ASKED ABOUT PAPAYA LEAF CURL VIRUS MANAGEMENT,"RECOMMENDED TO SPRAY FIPRONIL +IMIDACLOPRID (POLICE,LESENTA) 100GM/ 200 LITER OF WATER/ ACRE
ఫిప్రోనిల్+ఇమిడాక్లోప్రిడ్ (పోలీస్,లేసెంటా) 100గ్రాములు    /200 లీటర్ల నీటికి కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
farmer asked query on sucking pest management in chilli?,"-RECOMMENDED TO SPRAY Tolfenpyrad 15% EC (PI-KEEFUN) 400 ML/200 LITRES OF WATER / ACRE    
టోల్ ఫెన్ ఫైరాడ్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
farmer asked query on chemical compatibility ?,"Compatibility Test for Pesticide Mixtures:- 
1.	1.Measure one pint of spray water (or other diluent) that you will use when making up the larger mixture into a clear quart glass jar.
2.	Compatability:-Chemicals can be used together in the spray tank:Smooth mixture ,Combines well after stirring.
3.	Incompatible”-Do not mix this combination in the spray tank: Separation Clumps,Grainy appearance,Settles out quickly after stirring"
FARMER ASKED QUERY ABOUT AVAILABILITY OF BLACKGRAM SEEDS ,RECOMMENDED TO CONTACT -9989623823 FOR FURTHER DETAILS.
PADDY NUTRIENT MANAGEMENT ?,"RECOMMENDED TO SPRAY ZINC SULPHATE 2 GRAM /1 LITER OF WATER. (400GRS /ACRE/ 200 LITS OF WATER)
జింక్ సల్ఫేట్  2 గ్రాములు  / లీటర్ నీటిలో కలిపి పిచికారీ చేయాలి 
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"Registration NO.
AP141275792

FTO processed :-  Yes INSTALLMENT WILL CREDIT SOON"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,--https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
PM KISAN STATUS?,#NAME?
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,The Benenficiary Status (KYS) window is under maintenance and will be available soon. Sorry for the inconvenience.
"FARMER ASKED QUERY ON RELEASE OF 16th INSTALMENT OF  PM KISAN SAMMAN NIDHI ?
",దయచేసి e-KYC చేయించుకొండి.
HEDGE LUCERNE - VELIMASAL  WEED MANAGEMENT ?," Weed Management

:

First weeding at 25th DAS. Further weeding based on necessity"
FARMER ASKED ABOUT FRUITBORER AND SUCKING PEST MANAGEMENT IN CHILLIES,"RECOMMENDED TO SPRAY ISOCYCLOSERAM 9.2% w/w DC + ISOCYCLOSERAM 10% w/v DC (SYNGENTA SIMODIS) 80-120 ml /200 LIT OF WATER/ACRE
ఇసోసైక్లోజరం  9.2% w/w DC + ఇసోసైక్లోజరం  10% w/v DC (సైన్జెంటా సిమోడీస్) 80-120 మిల్లి /200 లీటర్ల నీటికి  కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి - Thrips,Mites,Fruit borer
"
FARMER ASKED QUERY ABOUT STEM ROT MANAGEMENT IN GROUNDNUT?,"RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  (BLITOX) 600  GM /200 LITRES OF WATER / ACRE  
కాపర్ ఆక్సీక్లోరైడ్ (బ్లెయిటాక్స్) 600 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 

"
expodus plant protector uses on crop plants?,"ఎక్సోడస్ మొక్కలు తెగుళ్లు మరియు వ్యాధులకు వ్యతిరేకంగా పోరాడటానికి సహాయపడుతుంది. ఇది మొక్కల పెరుగుదలకు సహాయపడుతుంది మరియు ప్రోత్సహిస్తుంది. ఇది పురుగులు మరియు త్రిప్స్ నుండి రక్షిస్తుంది. మిరపకాయలు, కూరగాయలు, పూలు, ద్రాక్ష, కాఫీ, టీ, పత్తి, వరి, మరియు ఉద్యాన పంటలు మొదలైన పంటలకు ఇది సిఫార్సు చేయబడింది.
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN PADDY.,RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE/200 LITERS OF WATER).పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి. 
farmer asked query  on Gram pod borer management in black gram ? ,"RECOMMENDED TO SPRAY  CHLORPYRIFOS  20EC (CORABON/PREDATOR) 500 ML/200 LITRES OF WATER / ACRE   (50EC - 320ML/ACRE)
 క్లోరోఫైరిఫాస్   500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
FARMER ASKED QUERY ON ANTS CONTROL IN SERI CULTURE,"RECOMMENDED TO APPLY CHLORIPYRIFOS (1.5%DP)-5 -10KG/ACRE(ANTS CONTROL)
OR
RECOMMENDED TO SPRAY  CHLORPYRIFOS  20EC (CORABON/PREDATOR) 500 ML/200 LITRES OF WATER / ACRE   "
FARMER ASKED QUERY ON GRAM CATERPILLAR MANAGEMENT IN CHILLI,"
RECOMMENDED TO SPRAY Novaluron (REMON) 300 ml/200 litres of water 
OR
RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  (PROCLAIM) 90 GRAMS /200 LITRES OF WATER / ACRE  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","You have not completed Ekyc. Please complete the Ekyc process.
దయచేసి  మీకు దగ్గరలో ఉన్నమీ సేవ కేంద్రాన్ని సంప్రదించండి 
"
FARMER ASKED QUERY ABOUT VARIETIES OF SESAMUM,RECOMMENDED VARIETIES OF SESAMUM IS YELAMANCHILI-66 (SARADHA )
FARMER ASKED QUERY ABOUT BROWN PLANT HOPPER MANAGEMENT IN PADDY?,"RECOMMENDED TO SPRAY  TRIFLUMEZOPYRIM   (PEXALON) 94 ML /200 LITRES OF WATER/ ACRE        ట్రైఫ్లూమిజోఫిరిమ్ (పెక్సలోన్) 94 ML / 200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి 
"
FARMER ASKED QUERY ABOUT PEST MANAGEMENT IN CASHEW?,"RECOMMENDED TO SPRAY PROFENOPHOS (CURACRON) 400 ML/200 LITRES OF WATER / ACRE 
ప్రోఫెనోఫాస్ (కురక్రాన్) 400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం ఎండా  మబ్బులుగా ఉంటుంది వర్షము పడే అవకాశం లేదు.
Weather in your area is sunny and cloudy with no chance of rain.

"
"FARMER ASKED QUERY ABOUT FERTILIZER MANAGEMENT IN GROUNDNUT
","యూరియా : 25 - 30 కే/ఏ
జిప్సం 200 కేజీలు ఎకరానికి మొక్క మొదలల్లో వేసి మట్టిని ఎగదోయాలి "
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
FARMER ASKED QUERY ABOUT MARKET INFORMATION OF CHILLI,"                                                                                       Min Price	    Modal Price	       Max Price
ANDHRA PRADESH	GUNTUR	     CHILLI-TEJA	4,500	       20,000	         24,000"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
SUCKING PEST AND BORER MANAGEMENT IN CASHE NUT?,"RECOMMENDED TO SPRAY LAMBDA CYHALOTHRIN + THIAMETHOXAM (ALIKA) 80 ML  /200 LITRES OF WATER /  ACRE
లాంబ్డా సైహలోత్రిన్ 9.5% +  థయోమిథాక్జొమ్ 12.6% (అలికా) 80 మిల్లి లీటర్లు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
"
FARMER ASKED QUERY ON WEED MANAGEMENT IN BRINJAL ,"RECOMMENDED TO GO FOR HAND WEEDING 
చేతితో కలుపు తీయాలి అని సిపర్సు చేయబడ్డది"
"FARMER ASKED QUERY ABOUT PM KISAN BENEFICIARY STATUS
","Reason of Stop Payment (If Any) :
Not Eligible
Payment Status :
7nth installment payment stoped by state on request of Districts

PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR DETAILS 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి

"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
FARMER ASKED QUERY ON HIGH DOSAGE SPRAY OF ROGER IN CABBAGE,RECOMMENDED TO SPRAY TO SUGAR -1 KG/ HALF ACRE / 100 LITER OF WATER
ridge gourd   leaf eating caterpillar   Management ;- , RECOMMENDED TO SPRAY CHLORPYRIFOS  320 ML/200 LITRES OF WATER 
farmer asked about pest management in cashew nut," RECOMMENDED TO SPRAY CHLORPYRIFOS  (CORABAN/PREDATOR/ALTIMA) 500 ML/200 LITRES OF WATER 
క్లోరోఫైరిఫాస్ (కోరబాన్/ప్రెడేటర్/అల్టిమా) 500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
FARMER ASKED QUERY ABOUT CATERPILLAR MANAGEMENT IN chilli ?,"ఎమామెక్టిన్  బెంజోయేట్ (ప్రొక్లైమ్) 90 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి - Missile
"
FARMER ASKED QUERY ABOUT CATERPILLAR MANAGEMENT IN RIDGEGOURD?,"RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  (PROCLAIM) 90 GRAMS /200 LITRES OF WATER / ACRE  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
farmer asked query on use highly doses of insecticide in bhindi crop ? ,"RECOMMENDED TO SPRAY UREA 2 kg /200 LITRE OF WATER  / acer 
"
Farmer asked query about shoot fly management in sorghum?," RECOMMENDED TO SPRAY CHLORPYRIFOS  (CORABAN/PREDATOR) 500 ML/200 LITRES OF WATER క్లోరోఫైరిఫాస్ (కోరబాన్) 500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ , మబ్బులుగా ఉంటుంది 
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
PM KISAN STATUS 17 INSTALLEMENT DATE ?,"The release date for the PM Kisan XVII Installment 2024 is May 2024, coinciding with the publication of the beneficiary list on the same day."
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం ఎండా  మబ్బులుగా ఉంటుంది వర్షము పడే అవకాశం లేదు.
Weather in your area is sunny and cloudy with no chance of rain.
"
GREEN GRAM SOWING SEASON ?,"RECOMMENDED TO FEBRUARY-MARCH 15 , "
FARMER ASKED QUERY ABOUT INTEGRATED SCHEMES ,"8331056950	Guntur	M. Sandhya Rani	        MAO., Dachepalli	
8331056958	Guntur	N. Sreenivasa Reddy	MAO., Gurazala	
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
",PLEASE WAIT FOR THE FURTHER PROCESS AND CHECK YOUR APPROVAL STATUS FREQUENTLY SIR
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
"FARMER ASKED QUERY ON DRIP IRRIGATION ,MULCHING SUBSIDY INFORMATION","	8331056989	Guntur	V. Venugopal	MAO., Cherukupalli
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.
Farmer asked query on Weather,మీ ప్రాంతములో  వాతావరణం ఎండగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
PADDY  NECK BLAST MANAGEMENT ;-,RECOMMENDED TO SPRAY  TRICYCLAZOLE  + MANCOZEB 400 GRAMS/200 LITRES OF WATER /ACRE   
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME eKYC ISSUE?
","Reason of Stop Payment (If Any) :
Not Eligible"
Farmer asked query about pest management in groundnut ?,"డైమిథోయేట్ (రోగర్) 400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి  కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
"FARMER ASKED QUERY ABOUT SUCKING PEST(WHITEFLY,MTES) MANAGEMENT IN SESAMUM?","RECOMMENDED TO SPRAY DIFENTHIURON (PEGASUS) 240 GM /200 LITRES OF WATER /ACRE 
డిఫెంతియూరోన్ (పెగాసస్) 240 గ్రాములు /200 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి(Aphid,Jassid,Whitefly,Thrips,Bph,Dbm)  
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME

","--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
